id,code,desc
176,P00AF,"Turbocharger/Supercharger Boost Control ""A"" Module Performance"
177,P00B0,"Turbocharger/Supercharger Boost Control ""B"" Module Performance"
178,P00B1,Radiator Coolant Temperature Sensor Circuit
179,P00B2,Radiator Coolant Temperature Sensor Circuit Range/Performance
180,P00B3,Radiator Coolant Temperature Sensor Circuit Low
181,P00B4,Radiator Coolant Temperature Sensor Circuit High
182,P00B5,Radiator Coolant Temperature Sensor Circuit Intermittent/Erratic
183,P00B6,Radiator Coolant Temperature/Engine Coolant Temperature Correlation
184,P00B7,Engine Coolant Flow Low/Performance
185,P00B8,MAP - Mass or Volume Air Flow Correlation
186,P00B9,Low Pressure Fuel System Pressure - Too Low
187,P00BA,Low Fuel Pressure - Forced Limited Power
188,P00BB,Fuel Injector Insufficient Flow - Forced Limited Power
189,P00BC,"Mass or Volume Air Flow ""A"" Circuit Range/Performance - Air Flow Too Low"
190,P00BD,"Mass or Volume Air Flow ""A"" Circuit Range/Performance - Air Flow Too High"
191,P00BE,"Mass or Volume Air Flow ""B"" Circuit Range/Performance - Air Flow Too Low"
192,P00BF,"Mass or Volume Air Flow ""B"" Circuit Range/Performance - Air Flow Too High"
193,P00C0,ISO/SAE Reserved
194,P00C6,Fuel Rail Pressure Low During Cranking
195,P00FD,Battery -B- State Of Charge Performance
196,P00FF,Fuel / Air auxillary system
197,P0100,Mass air flow (MAF) sensor/volume air flow (VAF) . sensor circuit malfunction
198,P0101,Mass air flow (MAF) sensor/volume air flow (VAF) sensor range/performance problem
199,P0102,Mass air flow (MAF) sensor/volume air flow (VAF) sensor low input
200,P0103,Mass air flow (MAF) sensor/volume air flow (VAF) sensor high input
201,P0104,Mass air flow (MAF) sensor/volume air flow (VAF) sensor circuit intermittent
202,P0105,Manifold absolute pressure (MAP) sensor barometric pressure (BARO) sensor -circuit malfunction
203,P0106,Manifold absolute pressure (MAF) sensor barometric pressure (BARO) sensor -range/performance problem
204,P0107,Manifold absolute pressure (MAP) sensor/barometric pressure (BARO) sensor -low input
205,P0108,Manifold absolute pressure (MAP) sensor/barometric pressure (BARO) sensor -high input
206,P0109,Manifold absolute pressure (MAP) sensor/barometric pressure (BARO) sensor -circuit intermittent
207,P010A,"Mass or Volume Air Flow ""B"" Circuit"
208,P010B,"Mass or Volume Air Flow ""B"" Circuit Range/Performance"
209,P010C,"Mass or Volume Air Flow ""B"" Circuit Low"
210,P010D,"Mass or Volume Air Flow ""B"" Circuit High"
211,P010E,"Mass or Volume Air Flow ""B"" Circuit Intermittent/Erratic"
212,P010F,Mass or Volume Air Flow Sensor A/B Correlation
213,P0110,Intake air temperature (IAT) sensor -circuit malfunction
214,P0111,"Intake air temperature (IAT) sensor"""""" range/performance problem"
215,P0112,Intake air temperature (IAT) sensor -low input
216,P0113,Intake air temperature (IAT) sensor -high input
217,P0114,Intake air temperature (IAT) sensor -circuit intermittent
218,P0115,Engine coolant temperature -(ECT) sensor circuit malfunction
219,P0116,Engine coolant temperature (ECT) sensor range/performance problem
220,P0117,Engine coolant temperature (ECT) sensor -low input
221,P0118,Engine coolant temperature (ECT) sensor -high input
222,P0119,Engine coolant temperature·(ECT) sensor circuit intermittent
223,P011A,Engine Coolant Temperature Sensor 1/2 Correlation
224,P011B,Engine Coolant Temperature/Intake Air Temperature Correlation
225,P011C,Charge Air Temperature/Intake Air Temperature Correlation
226,P011D,Charge Air Temperature/Intake Air Temperature Correlation
227,P011E,ISO/SAE Reserved
228,P011F,ISO/SAE Reserved
229,P0120,Throttle position (TP) sensor A/accelerator pedal position (APP) sensor A -circuit malfunction
230,P0121,Throttle position (TP) sensor A/accelerator pedal position (APP) sensor A -range/performance problem
231,P0122,Throttle position (TP) sensor A/accelerator pedal position (APP) sensor A -low input
232,P0123,Throttle position (TP) sensor A/accelerator pedal position (APP) sensor A -high input
233,P0124,Throttle position (TP) sensor A/accelerator pedal position (APP) sensor A -circuit intermittent
234,P0125,Insufficient coolant temperature for closed loop fuel control
235,P0126,Insufficient coolant temperature for stable operation
236,P0127,Intake air temperature too high
237,P0128,Coolant thermostat -coolant temperature below thermostat regulating temperature
238,P0129,Barometric pressure too low
1047,P057C,ISO/SAE Reserved
239,P012A,Turbocharger/Supercharger Inlet Pressure Sensor Circuit
240,P012B,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Range/Performance
241,P012C,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Low
242,P012D,Turbocharger/Supercharger Inlet Pressure Sensor Circuit High
243,P012E,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Intermittent/Erratic
244,P012F,ISO/SAE Reserved
245,P0130,"Heated oxygen sensor (HO2S) 1, bank 1 -circuit malfunction"
246,P0131,"Heated oxygen sensor (HO2S) 1, bank 1 -low voltage"
247,P0132,"Heated oxygen sensor (HO2S) 1, bank 1 -high voltage"
248,P0133,"Heated oxygen sensor (HO2S) 1, bank 1 -slow response"
249,P0134,"Heated oxygen sensor (HO2S) 1, bank 1 -no activity detected"
250,P0135,"Heated oxygen sensor (HO2S) 1, bank 1, heater control circuit malfunction"
251,P0136,"Heated oxygen sensor (HO2S) 2, bank 1 circuit malfunction"
252,P0137,"Heated oxygen sensor (HO2S) 2, bank 1 -low voltage"
253,P0138,"Heated oxygen sensor (HO2S) 2, bank 1 -high voltage"
254,P0139,"Heated oxygen sensor (HO2S) 2, bank 1 -slow response"
255,P013A,O2 Sensor Slow Response - Rich to Lean
256,P013B,O2 Sensor Slow Response - Lean to Rich
257,P013C,O2 Sensor Slow Response - Rich to Lean
258,P013D,O2 Sensor Slow Response - Lean to Rich
259,P013E,O2 Sensor Delayed Response - Rich to Lean
260,P013F,O2 Sensor Delayed Response - Lean to Rich
261,P0140,"Heated oxygen sensor (HO2S) 2, bank 1 no activity detected"
262,P0141,"Heated oxygen sensor (HO2S) 2, bank 1 heater control circuit malfunction"
263,P0142,"Heated oxygen sensor (HO2S) 3, bank. 1 -circuit malfunction"
264,P0143,"Heated oxygen sensor (HO2S) 3, bank 1 -low voltage"
265,P0144,"Heated oxygen sensor(H025) 3, bank 1 -high voltage"
266,P0145,"Heated oxygen sensor (HO2S) 3, bank 1 -slow response"
267,P0146,"Heated oxygen sensor (HO2S) 3, bank 1 -no activity detected"
268,P0147,"Heated oxygen sensor (HO2S) 3, bank 1, heater control circuit malfunction"
269,P0148,Fuel delivery error
270,P0149,Fuel timing error
271,P014A,O2 Sensor Delayed Response - Rich to Lean
272,P014B,O2 Sensor Delayed Response - Lean to Rich
273,P014C,O2 Sensor Slow Response - Rich to Lean
274,P014D,O2 Sensor Slow Response - Lean to Rich
275,P014E,O2 Sensor Slow Response - Rich to Lean
276,P014F,O2 Sensor Slow Response - Lean to Rich
277,P0150,"Heated oxygen sensor (HO2S) 1, bank 2 -circuit malfunction"
278,P0151,"Heated oxygen sensor (HO2S) 1 , bank 2 -low voltage"
279,P0152,"Heated oxygen sensor (HO2S) 1, bank 2 - - -high voltage"
280,P0153,"Heated oxygen sensor (HO2S) 1, bank 2 -slow response"
281,P0154,"Heated oxygen sensor (H025) 1, bank 2 no activity detected"
282,P0155,"Heated oxygen sensor (HO2S) 1, bank 2, heater control circuit malfunction"
283,P0156,"Heated oxygen sensor (H025) 2, bank 2 circuit malfunction"
284,P0157,"Heated oxygen sensor (HO2S) 2, bank 2 -low voltage"
285,P0158,"Heated oxygen sensor (h025) 2, bank 2, -high voltage"
286,P0159,"Heated oxygen sensor (H025) 2, bank 2 -Slow response"
287,P015A,O2 Sensor Delayed Response - Rich to Lean
288,P015B,O2 Sensor Delayed Response – Lean to Rich
289,P015C,O2 Sensor Delayed Response - Rich to Lean
290,P015D,O2 Sensor Delayed Response - Lean to Rich
291,P015E,ISO/SAE Reserved
292,P015F,ISO/SAE Reserved
293,P0160,"Heated oxygen sensor (H025) 2, bank 2 -no activity detected"
294,P0161,"Heated oxygen sensor (HO2S) 2, bank 2, heater control -circuit malfunction"
295,P0162,"Heated oxygen sensor (HO2S) 3, bank 2 -circuit malfunction"
296,P0163,"Heated oxygen sensor (HO2S) 3, bank 2 -low voltage"
297,P0164,"Heated oxygen sensor (HO2S) 3, bank 2 -high voltage"
298,P0165,"Heated oxygen sensor (HO2S) 3, bank 2 -slow response"
299,P0166,"Heated oxygen sensor (HO2S) 3, bank 2 -no activity detected"
300,P0167,"Heated oxygen sensor (HO2S) 3, bank 2, heater control circuit malfunction"
301,P0168,Fuel temperature too high
302,P0169,Incorrect fuel composition
303,P016A,ISO/SAE Reserved
304,P016B,ISO/SAE Reserved
305,P016C,ISO/SAE Reserved
306,P016D,ISO/SAE Reserved
307,P016E,ISO/SAE Reserved
308,P016F,ISO/SAE Reserved
309,P0170,"Fuel trim (FT), bank 1 -malfunction"
310,P0171,"System too lean, bank 1"
311,P0172,"System too rich, bank 1"
312,P0173,"Fuel trim (FT), bank 2 -malfunction"
313,P0174,"System too lean, bank 2"
314,P0175,"System too rich, bank 2"
315,P0176,Fuel composition sensor -circuit malfunction
316,P0177,Fuel composition sensor -range/performance problem
317,P0178,Fuel composition sensor -low input
318,P0179,Fuel composition sensor -high input
319,P017A,ISO/SAE Reserved
320,P017B,ISO/SAE Reserved
321,P017C,ISO/SAE Reserved
322,P017D,ISO/SAE Reserved
323,P017E,ISO/SAE Reserved
324,P017F,ISO/SAE Reserved
325,P0180,Fuel temperature sensor A -circuit malfunction
326,P0181,Fuel temperature sensor A -range/performance problem
327,P0182,Fuel temperature sensor A -low input
328,P0183,Fuel temperature sensor A -high input
329,P0184,Fuel temperature sensor A -circuit intermittent
330,P0185,Fuel temperature sensor B -circuit malfunction
331,P0186,Fuel temperature sensor B -range/performance problem
332,P0187,Fuel temperature sensor B -low input
333,P0188,Fuel temperature sensor B -high input
334,P0189,Fuel temperature sensor B -circuit intermittent
335,P018A,"Fuel Pressure Sensor ""B"" Circuit"
336,P018B,"Fuel Pressure Sensor ""B"" Circuit Range/Performance"
337,P018C,"Fuel Pressure Sensor ""B"" Circuit Low"
338,P018D,"Fuel Pressure Sensor ""B"" Circuit High"
339,P018E,"Fuel Pressure Sensor ""B"" Circuit Intermittent/Erratic"
340,P018F,Fuel System Over Pressure Relief Valve Frequent Activation
341,P0190,Fuel rail pressure (FRP) sensor -circuit malfunction
342,P0191,Fuel rail pressure (FRP) sensor -range/performance problem
343,P0192,Fuel rail pressure (FRP) sensor -low input
344,P0193,Fuel rail pressure (FRP) sensor -high input
345,P0194,Fuel rail pressure (FRP) sensor -circuit intermittent
346,P0195,Engine oil temperature (EOT) sensor -circuit malfunction
347,P0196,Engine oil temperature (EOT) sensor
348,P0197,Engine oil temperature (EOT) sensor -low input
349,P0198,Engine oil temperature (EOT) sensor -high input
350,P0199,Engine oil temperature (EOT) sensor -circuit intermittent
351,P019A,ISO/SAE Reserved
352,P01C1,Fuel Rail Pressure Sensor Circuit High Bank 2
353,P0200,Injector -circuit malfunction
354,P0201,Injector 1 -circuit malfunction
355,P0202,Injector 2 -circuit malfunction
356,P0203,Injector 3 -circuit malfunction
357,P0204,Injector 4 -circuit malfunction
358,P0205,Injector 5 -circuit malfunction
359,P0206,Injector 6 -circuit malfunction
360,P0207,Injector 7 -circuit malfunction
361,P0208,Injector 8 -circuit malfunction
362,P0209,Injector 9 -circuit malfunction
363,P020A,Cylinder 1 Injection Timing
364,P020B,Cylinder 2 Injection Timing
365,P020C,Cylinder 3 Injection Timing
366,P020D,Cylinder 4 Injection Timing
367,P020E,Cylinder 5 Injection Timing
368,P020F,Cylinder 6 Injection Timing
369,P0210,Injector 10 -circuit malfunction
370,P0211,Injector 11 -circuit malfunction
371,P0212,Injector 12 -circuit malfunction
372,P0213,Cold start injector 1 -circuit malfunction
373,P0214,Cold start injector 2 -circuit malfunction
374,P0215,Fuel shut -off solenoid -circuit malfunction
375,P0216,Fuel injection timing control -circuit malfunction
376,P0217,Engine over temperature condition
377,P0218,Transmission over temperature condition
378,P0219,Engine over speed condition
379,P021A,Cylinder 7 Injection Timing
380,P021B,Cylinder 8 Injection Timing
381,P021C,Cylinder 9 Injection Timing
382,P021D,Cylinder 10 Injection Timing
383,P021E,Cylinder 11 Injection Timing
384,P021F,Cylinder 12 Injection Timing
385,P0220,Throttle position (TP) sensor B/accelerator pedal position (APP) sensor B -circuit malfunction
386,P0221,Throttle position (TP) sensor B/accelerator pedal position (APP) sensor B -range/performance problem
387,P0222,Throttle position (TP) sensor B/accelerator pedal position (APP) sensor B -low input
388,P0223,Throttle position (TP) sensor B/accelerator pedal position (APP) sensor B -high input
389,P0224,Throttle position (TP) switch B/accelerator pedal position (APP) sensor B -circuit intermittent
390,P0225,Throttle position (TP) sensor C/accelerator pedal position (APP) sensor C -circuit malfunction
391,P0226,Throttle position (TP) sensor C/accelerator pedal position (APP) sensor C -range/performance problem
392,P0227,Throttle position (TP) sensor C/accelerator pedal position (APP) sensor C -low input
393,P0228,Throttle position (TP) sensor C/accelerator pedal position (APP) sensor C -high input
394,P0229,Throttle position (TP) sensor C/accelerator pedal position (APP) sensor C -circuit intermittent
395,P022A,"Charge Air Cooler Bypass Control ""A"" Circuit /Open"
396,P022B,"Charge Air Cooler Bypass Control ""A"" Circuit Low"
397,P022C,"Charge Air Cooler Bypass Control ""A"" Circuit High"
398,P022D,"Charge Air Cooler Bypass Control ""B"" Circuit /Open"
399,P022E,"Charge Air Cooler Bypass Control ""B"" Circuit Low"
400,P022F,"Charge Air Cooler Bypass Control ""B"" Circuit High"
401,P0230,Fuel pump relay -circuit malfunction
402,P0231,Fuel pump relay -circuit low
403,P0232,Fuel pump relay -circuit high
404,P0233,Fuel pump relay -circuit intermittent
405,P0234,Engine boost condition -limit exceeded
406,P0235,"Manifold absolute pressure (MAP) sensor A, TC system circuit malfunction"
407,P0236,"Manifold absolute pressure (MAP) sensor A, TC system range/performance problem"
408,P0237,"Manifold absolute pressure (MAP) sensor A, TC system low input"
409,P0238,"Manifold absolute pressure (MAP) sensor A, TC system high input"
410,P0239,"Manifold absolute pressure (MAP) sensor B, TC system circuit malfunction"
411,P023A,Charge Air Cooler Coolant Pump Control Circuit/Open
412,P023B,Charge Air Cooler Coolant Pump Control Circuit Low
413,P023C,Charge Air Cooler Coolant Pump Control Circuit High
414,P023D,"Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor ""A"" Correlation"
415,P023E,"Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor ""B"" Correlation"
416,P023F,Fuel Pump Secondary Circuit/Open
417,P0240,"Manifold absolute pressure (MAP) sensor B, TC system range/performance problem"
418,P0241,"Manifold absolute pressure (MAP) sensor B, TC system low input"
419,P0242,"Manifold absolute pressure (MAP) sensor B, TC system high input"
420,P0243,Turbocharger (TC) wastegate regulating valve A circuit malfunction
421,P0244,Turbocharger (TC) wastegate regulating valve A range/performance problem
422,P0245,Turbocharger (TC) wastegate regulating valve A circuit low
423,P0246,Turbocharger (TC) wastegate regulating valve A circuit high
424,P0247,Turbocharger (TC) wastegate regulating valve B -circuit malfunction
425,P0248,Turbocharger (TC) wastegate regulating valve B -range/performance problem
426,P0249,Turbocharger (TC) wastegate regulating valve B -circuit low
427,P024A,"Charge Air Cooler Bypass Control ""A"" Range/Performance"
428,P024B,"Charge Air Cooler Bypass Control ""A"" Stuck"
429,P024C,"Charge Air Cooler Bypass Position Sensor ""A"" Circuit"
430,P024D,"Charge Air Cooler Bypass Position Sensor ""A"" Circuit Range/Performance"
431,P024E,"Charge Air Cooler Bypass Position Sensor ""A"" Circuit Low"
432,P024F,"Charge Air Cooler Bypass Position Sensor ""A"" Circuit High"
433,P0250,Turbocharger (TC) wastegate regulating valve B -circuit high
434,P0251,"Injection pump A, rotor/cam -circuit malfunction"
435,P0252,"Injection pump A, rotor/cam -range/performance problem"
436,P0253,"Injection pump A, rotor/cam -circuit low"
437,P0254,"Injection pump A, rotor/cam -circuit high"
438,P0255,"Injection pump A, rotor/cam -circuit intermittent"
439,P0256,"Injection pump 8, rotor/cam -circuit malfunction"
440,P0257,"Injection pump 8, rotor/cam -range/performance problem"
441,P0258,"Injection pump B, rotor/cam -circuit low"
442,P0259,"Injection pump 8, rotor/cam -circuit high"
443,P025A,Fuel Pump Module Control Circuit/Open
444,P025B,Fuel Pump Module Control Circuit Range/Performance
445,P025C,Fuel Pump Module Control Circuit Low
446,P025D,Fuel Pump Module Control Circuit High
447,P025E,ISO/SAE Reserved
448,P025F,ISO/SAE Reserved
449,P0260,"Injection pump 8, rotor/cam -circuit intermittent"
450,P0261,Injector 1 -circuit low
451,P0262,Injector 1 -circuit high
